藥品代碼,藥品名稱,數量
A000015421,SULFAMETHOXAZOLE ， 眼用液劑 ， 20.00  MG/ML ， 5.00 ML,0
A000023100,ISONIAZID ， 一般錠劑膠囊劑 ， 100.00 MG,0
A000072100,EPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,2695.5
A000076100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,530741.1
A000096100,DIPHENHYDRAMINE ， 一般錠劑膠囊劑 ， 50.00 MG,482086.2
A000098100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,0
A000106100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,15
A000137151,GLYCYRRHIZIC ACID 0.12ML/ML + ANTIMONY POTASSIUM TARTRATE 0.24MG/ML， 口服液劑， 60.00ML,518
A000173100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,6895169.5
A000177100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A000186100,ESTRADIOL 50MCG + NORGESTREL 500MCG， 一般錠劑膠囊劑，,0
A000199100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,0
A000208100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG， 一般錠劑膠囊劑，,0
A000315100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A000373100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A000389100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,347283.2
A000415100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,32439466.3
A000419229,DEXAMETHASONE ， 注射劑 ， 20.00 MG,0
A000428100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,0
A000429100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,120
A000480209,EPINEPHRINE ， 注射劑 ， 1.00 MG,0
A000506100,NIACINAMIDE (=NICOTINAMIDE) 50.000MG + CALCIUM PHOSPHATE DIBASIC 50.000MG + VITAMIN A (PALMITATE) 2500.000IU + THIAMINE MONONITRATE 10.000MG + RIBOFLAVIN (=VIT B2) 5.000MG + PYRIDOXINE HCL 5.000MG， 一般錠劑膠囊劑,0
A000518100,OXYTETRACYCLINE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A000519100,TETRACYCLINE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A000541100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A000572100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,0
A000575100,PARAMETHASONE ， 一般錠劑膠囊劑 ， 2.00 MG,0
A000582221,CHLORPHENIRAMINE 0.6MG/ML + VITAMIN B2  2MG/ML + VITAMIN B6 2MG/ML + BIOTIN 100MCG/ML + GLYCYRRHIZIC ACID 2MG/ML， 注射劑， 5.00ML,0
A000587100,DOXYCYCLINE ， 一般錠劑膠囊劑 ， 50.00 MG,0
A000604151,DEXTROMETHORPHAN 2.5MG/ML + POTASSIUM CRESOLSULFONATE 15MG/ML， 內服液劑， 60.00ML,3467.3
A000647100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 2.00 MG,0
A000742199,CLOPERASTINE ， 口服顆粒劑 ， 177.00 MG,0
A000749100,BELLADONNA ALKALOID 4MG + ALUMINUM HYDROXIDE 100MG， 一般錠劑膠囊劑，,0
A000822157,DEXTROMETHORPHAN HBR  0.5MG/ML+ AMMONIUM CHLORIDE 2MG/ML+ CHLORPHENIRAMINE MALEATE  0.15MG/ML+METHYLEPHEDRINE DL- HCL  0.4MG/ML+ POTASSIUM GUAIACOLSULFONATE 6MG/ML，口服液劑，120ML,27
A000844100,MEPENZOLATE ， 一般錠劑膠囊劑 ， 7.50 MG,0
A000849100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A000862100,MAGNESIUM OXIDE 70MG + SODIUM BICARBONATE 200MG， 一般錠劑膠囊劑，,0
A000895100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,159
A000900100,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,0
A000902100,INOSITOL ， 一般錠劑膠囊劑 ， 200.00 MG,0
A000933100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A000985100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,0
A000998100,DIMETHICONE 36.7MG + ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG， 一般錠劑膠囊劑，,0
A001001100,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A0010011G0,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A001046100,MAGNESIUM OXIDE ， 一般錠劑膠囊劑 ， 250.00 MG,447458.4
A0010471G0,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,0
A001057100,GUAIFENESIN ， 一般錠劑膠囊劑 ， 100.00 MG,0
A001059100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A001068100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A001112100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A001155100,PHENOBARBITAL ， 一般錠劑膠囊劑 ， 30.00 MG,0
A0011921G0,ETILEFRIN ， 一般錠劑膠囊劑 ， 5.00 MG,0
A001206100,CLOFIBRATE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A001217100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,28
A001226100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,65606.5
A001358100,AMINOPHYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,0
A001396100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A001398100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,282
A001400100,DIPROPHYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,0
A001426100,ALUMINUM HYDROXIDE ， 內服液劑 ， 40.00  MG/ML ， 1.00 ML,0
A001426199,ALUMINUM HYDROXIDE ， 內服液劑 ， 40.00  MG/ML ， 1.00 ML,0
A001437277,AMPICILLIN ， 注射劑 ， 500.00 MG,39
A001446100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,0
A001448100,NOSCAPINE ， 一般錠劑膠囊劑 ， 20.00 MG,224591.5
A001532100,MEDAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,0
A001584100,MAGNESIUM OXIDE ， 一般錠劑膠囊劑 ， 250.00 MG,67775.7
A001607100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,0
A001632100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,0
A001641100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A001644100,DICYCLOMINE ， 一般錠劑膠囊劑 ， 20.00 MG,0
A001646100,DIAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,2335.5
A0016461G0,DIAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,2470
A001648100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,0
A001673100,CINNARIZINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A0016731G0,CINNARIZINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A001691100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 7.67 - 10.00 MG,0
A001713100,AMYLASE 10MG + DIASTASE 5MG， 一般錠劑膠囊劑，,3533811.7
A001735100,SCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,0
A001779100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A001781100,BETAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A001782100,CARBETAPENTANE ， 一般錠劑膠囊劑 ， 25.00 MG,5159
A001793100,含methyl testosterone 10mg，單、複方製劑，一般錠劑膠囊劑,0
A001816100,DICYCLOMINE ， 一般錠劑膠囊劑 ， 10.00 MG,0
A001833229,DEXAMETHASONE ， 注射劑 ， 10.00 MG,0
A001836100,METHIMAZOLE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A001850100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,298
A001856100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A001865212,DIAZEPAM ， 注射劑 ， 10.00 MG,0
A001866100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,2130
A001867277,AMPICILLIN ， 注射劑 ， 500.00 MG,0
A001881100,DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG， 一般錠劑膠囊劑，,0
A001941100,DIPYRIDAMOLE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A001963100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,0
